doc,,mk123,,doc,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
897,0.6570003629,897,1.324429512,897,0.6570003629,
896,0.6577241421,896,1.327763081,896,0.6577241421,
895,0.6580893397,895,1.332033396,895,0.6580893397,
894,0.6587031484,894,1.336463928,894,0.6587031484,
893,0.6596039534,893,1.341668248,893,0.6596039534,
892,0.6601080894,892,1.347293139,892,0.6601080894,
891,0.6606689095,891,1.353655815,891,0.6606689095,
890,0.6615170836,890,1.360787511,890,0.6615170836,
889,0.6622658968,889,1.368100882,889,0.6622658968,
888,0.6629456878,888,1.375680208,888,0.6629456878,
887,0.6638479233,887,1.383396745,887,0.6638479233,
886,0.6647298932,886,1.391238213,886,0.6647298932,
885,0.6654579043,885,1.399420261,885,0.6654579043,
884,0.6662352681,884,1.406805038,884,0.6662352681,
883,0.667350769,883,1.413749218,883,0.667350769,
882,0.6684347391,882,1.419487357,882,0.6684347391,
881,0.6693282723,881,1.424515367,881,0.6693282723,
880,0.6703957319,880,1.427849174,880,0.6703957319,
879,0.6715652943,879,1.430325508,879,0.6715652943,
878,0.6725116372,878,1.431948066,878,0.6725116372,
877,0.6737366915,877,1.431597471,877,0.6737366915,
876,0.67520082,876,1.430293202,876,0.67520082,
875,0.6762750745,875,1.428519368,875,0.6762750745,
874,0.6774224043,874,1.425930142,874,0.6774224043,
873,0.6789091229,873,1.422982574,873,0.6789091229,
872,0.6802114248,872,1.419666767,872,0.6802114248,
871,0.6816418767,871,1.416945457,871,0.6816418767,
870,0.6832321286,870,1.413717031,870,0.6832321286,
869,0.6847829223,869,1.411282301,869,0.6847829223,
868,0.686248064,868,1.409340262,868,0.686248064,
867,0.6877356172,867,1.407633901,867,0.6877356172,
866,0.6894732714,866,1.407040596,866,0.6894732714,
865,0.691249907,865,1.406462073,865,0.691249907,
